0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,emotion
-783.2174,1.2121162,-0.40527847,0.2661363,-0.026079439,-0.099093884,-0.3082015,-0.17046499,-0.4707531,-0.169854,-0.02094924,-0.20149751,-0.06821639,-0.18456575,-0.08018389,0.065049216,-0.29401785,-0.14887129,-0.08582072,-0.1288944,-0.19837542,-0.048516322,-0.17943594,-0.1927343,-0.04276708,-0.13897331,-0.150489,-0.03969496,-0.15897228,-0.0841581,-0.15412517,-0.14280948,-0.0678042,-0.07202792,-0.022821361,0.041539844,0.106150046,0.1012493,0.18453705,0.2865052,neutral
-767.58777,1.1829492,-0.42409194,0.24984777,-0.010494776,-0.13997132,-0.31755984,-0.17129688,-0.45914674,-0.08533005,-0.028445048,-0.15787986,-0.09212352,-0.16188915,-0.06582085,-0.0043545975,-0.28063828,-0.13414213,-0.053946733,-0.14037961,-0.23957519,-0.03607308,-0.23128639,-0.1595431,-0.055383928,-0.1291004,-0.12454852,-0.019132243,-0.15656324,-0.044116914,-0.13698131,-0.13160092,-0.07413051,-0.08367385,-0.0051112734,0.06389516,0.09407381,0.10334809,0.19971533,0.28997675,neutral
-764.48706,1.1657232,-0.33247322,0.32634297,-0.06491973,-0.072414145,-0.25761223,-0.18491043,-0.41505095,-0.14497343,-0.040353395,-0.15329984,-0.06991239,-0.15679418,-0.07075801,0.04110211,-0.25480628,-0.11539824,-0.051062454,-0.15619668,-0.212176,-0.050437223,-0.15079847,-0.16011693,-0.06660817,-0.10071745,-0.11802074,-0.052310437,-0.16781665,-0.06338889,-0.13738245,-0.10346441,-0.055001915,-0.06885994,-0.030859882,0.04147645,0.062111903,0.13873255,0.1872877,0.23015825,neutral
-780.26825,1.0977341,-0.39279982,0.30877015,-0.06964713,-0.047737103,-0.31455836,-0.19005425,-0.4239359,-0.1259439,0.015620524,-0.17615111,-0.062372893,-0.17137915,-0.053372182,0.011860039,-0.2828498,-0.11246178,-0.07183244,-0.18324922,-0.2046927,-0.02582236,-0.18180048,-0.14851189,-0.06987961,-0.14912495,-0.11207886,-0.053887114,-0.15830907,-0.046796534,-0.16321497,-0.10571987,-0.061719943,-0.10033537,0.0038230459,0.047300074,0.07932851,0.14801033,0.19570819,0.26647595,neutral
-790.97595,1.3523973,-0.320815,0.29276475,0.023873389,-0.09326994,-0.30235723,-0.09042926,-0.41305566,-0.16113995,0.019556616,-0.19245584,-0.16142526,-0.16463889,-0.07610133,-0.018031424,-0.19153254,-0.16970785,-0.098269254,-0.19287476,-0.25053403,-0.05246721,-0.19287771,-0.12737045,-0.06711131,-0.11377788,-0.18096937,-0.034361172,-0.14704092,0.00704154,0.06500194,0.091786556,0.06537348,-0.09002455,-0.13840339,-0.082121044,0.02379982,0.14927045,0.2197018,0.29439777,calm
-775.07086,1.2467453,-0.36104384,0.27350685,0.027514648,-0.12969872,-0.2727448,-0.15751667,-0.4998298,-0.14258723,-0.016355144,-0.2107079,-0.1304507,-0.22138496,-0.0929678,0.011197035,-0.2762179,-0.14546356,-0.06869104,-0.24452561,-0.24808134,-0.0763301,-0.25143215,-0.13083011,-0.045625728,-0.15918818,-0.16435055,-0.057059925,-0.18264008,0.042812217,-0.0120278895,0.046866376,0.041261233,-0.13046353,-0.13314794,-0.091578916,0.054915585,0.15945368,0.2648517,0.30784333,calm
-798.42175,1.4380492,-0.08355854,0.2986513,-0.06564406,-0.04814368,-0.2446648,-0.09105814,-0.47811362,-0.18856287,-0.02383865,-0.13511786,-0.16137312,-0.23679315,-0.04195849,-0.06959013,-0.28220806,-0.11634454,-0.1403874,-0.21908528,-0.21916494,-0.07965614,-0.23052488,-0.17315148,-0.10316196,-0.1302042,-0.16250369,-0.05889393,-0.13372988,-0.032409802,-0.01290453,0.023674471,-0.010197271,-0.1356021,-0.15405399,-0.0752509,-0.03675668,0.09944511,0.15427741,0.2628403,calm
-755.13214,1.3133055,-0.27919233,0.27394336,-0.07022384,-0.102479786,-0.34126094,-0.15711306,-0.4998342,-0.17706205,0.024818156,-0.18832144,-0.11040315,-0.2242741,-0.07790371,-0.054909024,-0.24325073,-0.11194385,-0.09910394,-0.18963893,-0.2726106,-0.10246833,-0.215186,-0.15607153,-0.063671485,-0.13991015,-0.19690284,-0.04226974,-0.15288825,0.014621534,0.018254919,0.027220542,0.015308352,-0.110704616,-0.1566563,-0.108383186,-0.012961175,0.13123532,0.21592413,0.31114557,calm
-831.16254,1.7461532,-0.41185632,0.31386867,0.04592035,-0.1860132,-0.30652174,-0.22240874,-0.4888742,-0.019388199,-0.0030372106,-0.19172445,-0.07686408,-0.28971383,-0.10472346,-0.0052538286,-0.3043192,-0.14557707,-0.0725276,-0.19769263,-0.2792217,-0.052002706,-0.30813277,-0.122996874,-0.09569249,-0.1382562,-0.12834208,-0.081801824,-0.1417493,0.006916643,-0.03942877,0.063021645,-0.019290963,-0.049363967,-0.21374989,-0.08938907,-0.0053367005,0.22559397,0.3364669,0.4316691,calm
-810.80554,1.4504231,-0.36715856,0.29866943,-0.02127251,-0.101849124,-0.37506324,-0.21817617,-0.40941697,-0.19262204,0.006495222,-0.21642822,-0.13360518,-0.24166134,-0.10868442,-0.02949645,-0.25009376,-0.1683215,-0.07733222,-0.15776017,-0.28086916,-0.02964157,-0.24847136,-0.14715746,-0.07166145,-0.14217255,-0.16644463,-0.07609016,-0.1311287,0.013765344,0.008195335,0.025509005,-0.0027376523,-0.09240001,-0.17164883,-0.019839523,0.06155025,0.17917533,0.24156122,0.28612354,calm
